Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509367059,8.415270984,9.330108389,9.00963541,8.531408882000001,7.091757732,5.465289124,6.316265223,7.275300371,5.046936985,3.580598862,2.491619415,1.798139362,1.606763921,1.467641149,1.536461923,1.564651336,1.69991653,1.724833372
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,94.018896847303,82.0243377229,45.6833526150357,35.199111709170005,20.391226834156964,17.545558303290004,12.785602784570003,7.302975818180002,5.1811677014300015,3.56290601134,2.571260083350001,1.5647388539200002,1.4292548505600002,1.2626148436800002,1.2857799884700003,1.3183527806200002,1.3376767807700003
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,7.345242295114459,4.6089,4.27820047888911,3.0673,2.640480681565701,2.0508,1.6458,1.5888,1.5313,1.5057,1.4819,1.4159000000000002,1.3499,1.2681,1.1858,1.0833,0.9805
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1092.671812108762,668.9938970000001,184.62275296826544,130.338494,70.18351526420432,76.260041,81.27619500000002,86.233147,91.09929400000001,97.39243800000001,103.890358,110.29275399999999,116.75635400000002,124.36710000000001,131.925937,139.085089,146.204487
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57630202,75.03517777,126.9136441,86.5998293,32.86454475,26.64880833,19.89274194,19.63002821,19.38318083,19.98950402,19.77655148,20.65432106,21.04556175,21.8670333,22.18200134,22.96186244,23.389174,24.09164892,24.44757618
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254821,214.7476437,246.9822545,160.7800097,58.60306783,46.38004021,33.88051306,33.06652373,32.27108084,32.5998413,32.25254808,33.19675459,33.82557803,34.88092752,35.38334489,36.50556979,37.18492461,38.26227583,38.82755832
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048556,55.80189693,91.43864611,61.12473294,22.80175436,18.15018583,13.32816284,12.9323836,12.54215296,12.4711566,12.33829865,12.39224482,12.62698264,12.57784985,12.75901849,12.61577512,12.85054992,12.59042911,12.77643868
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788544,6.870433855,2.283760739,1.049779408,0.240042923,0.191621212,0.141075155,0.09505478,0.048125709,0.020479596,0.020261423,0.017049461,0.017372417,0.015805978,0.016033644,0.015165179,0.015447397,0.01482425,0.015043262
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07957075,6.927216153,1.636899164,0.8054191460000001,0.208656847,0.125916572,0.065841475,0.053068157,0.040072254,0.01980276,0.019591797,0.009471944,0.009651364,0.004883593,0.004953935,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633978,50.99612285,86.13733158,57.95683077,21.73948744,17.40579611,12.84858376,12.49053991,12.13838812,12.10998397,11.98097367,12.18120218,12.41194237,12.63842213,12.82046324,12.96268373,13.20391436,13.20316519,13.39822724
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509367059,8.87714411,10.26343008,6.7057520870000005,2.452186094,1.993050011,1.490792796,1.645355904,1.805137677,1.600491051,1.583440672,1.433390248,1.46054198,1.438428031,1.459146838,1.5282714030000002,1.556711955,1.6913798080000002,1.71636806
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,98.04282697867215,61.04962620806001,12.696571881655563,9.892271093070002,5.462807078187714,4.570531306770001,3.1723464475200003,2.31592894713,2.29125684832,2.0496849166200004,2.0885106981500003,1.40080581143,1.4209827136500004,1.25588413514,1.2792556678500002,1.3117322126400004,1.3311115934500004
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.008376102279316,4.3408,2.41248894157332,2.0409,2.0410536147884204,1.7852,1.6359,1.5792000000000002,1.5204,1.4932,1.4705,1.4057,1.3411,1.2605,1.179,1.0772,0.9751
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1164.3886472965632,1489.3288410000002,1491.0680656218983,1790.2669070000002,1866.9509957669393,2145.116974,2337.9536180000005,2511.356276,2684.080113,2891.132101,3101.5657530000003,3306.677517,3513.2049810000003,3747.9140270000003,3981.039062,4199.1779830000005,4416.686417000001
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57630202,81.08387262,144.7735397,174.5162025,207.7710541,231.8426598,256.6425819,285.8797118,317.7893991,351.5958018,372.2314362,408.3648717,434.8946433,471.6169812,497.88733,535.8518125,565.4937857,602.059258,630.3151043
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254821,232.0587637,281.7387798,324.0042961,370.4910952,403.5029166,437.1032597,481.5606057,529.0879489,573.3992862,607.0528678,656.3463592,698.9864594,752.2939904,794.1988122,851.9159015,899.0417444,956.1884899,1001.06433
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048556,60.30016903,104.3063302,123.1787217,144.1536639,157.9052732,171.9508619,188.3393165,205.6299886,219.3554327,232.2297004,245.0120462,260.9294624,271.2726274,286.3832507,294.4093051,310.6952867,314.6395017,329.4061635
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788544,7.424269524,2.605142484,2.115518208,1.517561601,1.667090361,1.820055385,1.384319615,0.78902634,0.360216042,0.38135761,0.337091734,0.358991185,0.340895235,0.359884027,0.353903729,0.373480792,0.370463527,0.387850122
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07957075,7.485629126,1.867251451,1.623082771,1.31913749,1.095464852,0.849441784,0.7728521420000001,0.656989043,0.348311161,0.368754016,0.1872735999999999,0.199439989,0.105326831,0.111193822,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633978,55.10699451,98.25898927,116.794757,137.4379671,151.4291377,165.7636598,181.9045756,199.0102193,213.0027598,225.5041806,240.8394374,256.4857766,272.5790192,287.7624121,302.5049727,319.2387862,329.9520039,345.437312
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509367059,9.592743612,11.7077491,13.51344915,15.50282511,17.33938756,19.23319134,23.96195596,29.59543238,28.15107037,29.80329487,28.34013392,30.18127486,31.02327948,32.75136055,35.66465933,37.63753849,42.26820985,44.25194156
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,103.4968512159742,123.02736644760003,76.35623588623807,86.06202621170002,68.57854524677121,66.56241950178001,52.010971827550016,40.73492235507001,43.12571018426,40.52514320102,43.157893641650006,30.21186264772,31.894745579440006,29.308066482790004,30.929314937450005,32.78067533304001,34.319138051700016
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.490628396106038,7.692,8.640397154712506,8.1056,8.540582277825266,8.4099,8.5961,8.9222,9.2446,9.6193,10.0087,10.2221,10.4385,10.597,10.7506,10.7802,10.8092
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1164.3594448048182,1488.0346909999998,1490.1782701198272,1764.1206439999999,1846.506415024791,2116.93911,2308.6933870000003,2481.3633130000003,2656.0554020000004,2866.5309530000004,3073.5617770000003,3275.7428990000003,3481.336287,3714.6003180000002,3946.34526,4171.477453,4389.448063
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57629853,81.08349887,144.7690978,174.364901,207.6468381,228.3679503,253.7498619,282.009712,313.6871575,347.2616904,368.2281736,404.781531,430.8484931,467.079642,493.2483171,530.9656191,560.4417133,597.9911163,626.339116
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254613,232.057694,281.7301355,323.7233919,370.269597,397.4554731,432.1764962,475.041642,522.2581219,566.3310096,600.5241554,650.5870181,692.4832655,745.05631,786.7989483,844.1476608,891.0097836,949.7274808,994.7496788
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048269,60.29989107,104.3031298,123.0719286,144.0674816,155.53869,170.0127358,185.7897367,202.9755769,216.6514445,229.732124,242.8621021,258.5018404,268.6627639,283.7149049,291.7247181,307.919562,312.5134683,327.32829
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788425,7.424235302,2.605062553,2.113684103,1.516654326,1.642105077,1.799540821,1.365579857,0.7788410520000001,0.355775669,0.377256197,0.334133804,0.355651222,0.337615546,0.356530846,0.350676639,0.370144147,0.367960288,0.385403587
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07956948,7.485594621,1.86719416,1.621675596,1.318348843,1.079046725,0.83986739,0.762389918,0.648508182,0.34401754,0.364788152,0.185630303,0.19758445,0.104313501,0.110157785,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633739,55.10674049,98.2559745,116.6934986,137.3557998,149.1596147,163.8952721,179.442104,196.44126,210.3770809,223.0789355,238.7261074,254.0994975,269.9565872,285.0812161,299.7465649,316.3867346,327.7225033,343.2583151
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509366202,9.592699394,11.70738988,13.5017333,15.49355674,17.07951592,19.01640644,23.6375791,29.21339442,27.80405294,29.48276736,28.09145348,29.90047588,30.72481029,32.44620319,35.33944922,37.30128799,41.98260164,43.97280308
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,103.49415281033208,122.9207045823,76.31081611744445,84.7721836668,67.8056822925715,65.66135328414002,51.33957884349,40.23278413725001,42.66190320178001,40.169541130620004,42.75636346764001,29.921199943670008,31.597569639770004,29.040819311510006,30.652995122290005,32.55917481870001,34.10265507393
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.490405172908183,7.685,8.634953309519778,7.9712,8.431449076403895,8.2778,8.4651,8.7907,9.1252,9.5159,9.8944,10.1023,10.3204,10.4803,10.6348,10.6922,10.7274
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1164.3886472965632,1489.3288410000002,1491.0680656218983,1790.219002,1866.8435079957171,2128.2363960000002,2321.031141,2492.308676,2661.983181,2861.13256,3071.009942,3276.808678,3484.0395589999994,3719.449019,3952.838032,4170.556676,4387.202248
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57630202,81.08387262,144.7735397,174.5162025,207.7710541,231.8362643,256.627419,283.5574598,315.4138066,348.840261,369.0671075,403.9756773,430.4761462,467.2420009,493.6470365,531.6773857,561.3862757,597.8567975,626.0150717
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254821,232.0587637,281.7387798,324.0042961,370.4910952,403.4917858,437.0774349,477.6488028,525.1328222,568.9054181,601.892329,649.291806,691.8848091,745.3152948,787.4349605,845.2792523,892.5114817,949.5141562,994.2350326
